gene
SMOC1
NTN3
MDK
NTN1
APP
CTHRC1
SFRP1
SLIT2
FLT1
OLFML3
SPON1
SPOCK3
FRZB
HTRA1
SPOCK2
GPC5
COL11A1
COL25A1
LRP1
GPNMB
SDC4
SPOCK1
PTN
NXPH1
BDH2
TMEFF2
RENBP
DAG1
SLIT1
APOE
ECE1
QPRT
