GeneName,value
HTRA1,3.83827920571102
RPGRIP1L,3.83793083876602
STAT4,3.83759048830422
LYRM2,3.83754881956744
CPS1,3.8375156291706
ZADH2,3.8375000270141
HDLBP,3.83732636328934
SLC25A16,3.83688368734125
SPATA5,3.83652665384717
CBL,3.83644519478832
GOPC,3.83586320679226
SYK,3.83550200450093
TSPO,3.83547847715217
NFIC,3.83498937302196
CCDC127,3.83488051841261
GSTO1,3.83435058527102
GRN,3.83421150916096
PHIP,3.83394003454583
CSNK1E,3.83372249530356
CSTB,3.83358939749567
KCNJ10,3.83355974467106
NRXN1,3.83318078604389
NRXN1,3.83318078604389
MZT2A,3.83296730499611
STK10,3.83293480678623
SPON2,3.8325341258766
HDAC9,3.83202344984543
CAPZB,3.83177457317424
AKR1C2,3.83089866542866
YTHDC2,3.83074712582494
TTC38,3.83070860740037
TGFBR3,3.82996371284874
CDC42,3.82995021930888
FKTN,3.82955573149741
ASIC2,3.82914234558175
TFG,3.82854529668029
DDR1,3.82822225343592
DNAJC30,3.82740998519396
PRKAR1B,3.82729212648566
GLTP,3.8260183738265
NBEAL1,3.82569921264317
CDHR3,3.82561208909006
NWD2,3.82559767396915
SPATA7,3.82524242124694
RNF114,3.8235911505972
GCSH,3.82273372700518
SCARB1,3.82224644865768
SLC25A27,3.82220458986431
PARVA,3.82211068159619
NLRP1,3.82202112575778
CTSH,3.8219878842248
LCLAT1,3.82082935179675
C10orf105,3.82047130454174
NDE1,3.81961148956516
NPEPPS,3.81914740889256
PNPT1,3.81910942427949
CCDC91,3.81909355749796
VASN,3.81873149965628
PLXNA4,3.81869991863278
PPP2R5C,3.81845817250379
THEM4,3.81796476679553
RYBP,3.81763708755402
FREM1,3.81759403465842
SERPING1,3.81755891073798
FAM114A1,3.81728625650507
NCALD,3.81715926584854
AFDN,3.81688353368062
EFEMP1,3.81594453818261
CLU,3.81530397301723
NNT,3.81465641578032
RAPGEF5,3.81453222942319
KIF7,3.81446485727806
HTT,3.81423618697971
MRPS22,3.81406916955929
TMEM132B,3.81385678652744
FEZ2,3.81350869987526
NCLN,3.81342071715772
DDX11,3.81321291001057
MTSS1,3.81287519181663
PLOD1,3.81161992484376
COL27A1,3.81143753539932
TRIOBP,3.81103314471985
TIMM13,3.81074044276296
CFAP36,3.81015086873903
ABHD11,3.80977462130176
SCARF1,3.8094925636582
EML6,3.80880820594136
CAMK1G,3.80813898654308
NDUFV1,3.80656695149626
LAMA1,3.80604290554384
MTMR3,3.80598036185636
SDHB,3.80539679255665
DPYD,3.80533824410456
RUFY1,3.80235875643195
HARS1,3.80127306527979
H1-0,3.80071784120653
MXRA7,3.80053511435956
MYO9B,3.80034152845972
AKR1C1,3.80025296446081
FAH,3.79995100545183
TRAPPC12,3.79941116730085
RMND1,3.7993806296895
SELENBP1,3.79876521445109
DYNC1I1,3.79809854423988
RNF216,3.79752490529708
CMBL,3.7974086381044
KHNYN,3.79642974819164
KLC1,3.7962553872974
SMIM12,3.79624392810078
GJA1,3.79623500355346
RINT1,3.79538628842344
BOLA3,3.79534688159557
PNP,3.79477893179688
MTOR,3.79428706741045
TNFAIP2,3.7941325608025
PRPH2,3.79310820214854
SPAST,3.79295358388811
CDK5RAP2,3.79289617194654
TOMM70,3.79189438796201
SBSPON,3.79164539670841
SH3BP2,3.79163100044099
PPFIA1,3.79078713424702
AKAP12,3.7906409338015
ZNF592,3.79032989547277
ACSM5,3.78992027017187
SMARCD2,3.78922332930801
VMAC,3.78885766018407
UNC13A,3.78860538021483
BAK1,3.78817322714801
CCNT2,3.78809955920973
SRSF10,3.78803801995214
NDUFA2,3.78772045445022
EPHA5,3.78764421005374
UROS,3.78710617861326
CBR1,3.78692765020243
ENTPD1,3.78667163189941
AMT,3.78638957118163
ASNS,3.78635437525568
RGR,3.78616160348236
SGSM2,3.78613810272532
NUMB,3.78577341407582
PLCB4,3.78569437319646
ATP1A2,3.78548252937383
PAK1,3.78518379391676
ATL3,3.7837913281604
PTK2B,3.78307791728527
PACSIN3,3.78295652653065
TBXAS1,3.78270736375643
ARMC10,3.78265888405039
ASCC2,3.78258543672418
MRPS7,3.78254312665746
RASGRF1,3.78235427558678
PHACTR1,3.78193085488089
FER,3.78192917901824
SCAMP2,3.78172894134212
RNF14,3.78149667473203
FAM47E,3.78144357680457
SLC1A1,3.78105765044492
SLC22A23,3.78092073355455
ATP6V1B2,3.77983089215645
LTBP3,3.77957136543972
TRIO,3.77850234287835
CLSTN2,3.77834218453988
MEGF10,3.7777968041978
TRIM9,3.77769547114342
EFHD1,3.77762712627281
MTMR6,3.77755781524798
MYSM1,3.77737676902941
PSPH,3.77728736615385
KANK1,3.77724567819062
SPARC,3.7769831415243
POGLUT3,3.77677773998488
TBC1D20,3.77645280955303
WDR41,3.77640305081664
TPD52L1,3.77632572102386
SLC25A22,3.77607918728744
PIP5K1C,3.77606150448802
SNCG,3.77565118627048
SSBP2,3.77539956339276
RAB3B,3.77484325025738
LPIN2,3.7745132418306
SULT4A1,3.77448280616563
SPECC1L,3.77399495603404
MGLL,3.77376553498821
RASSF8,3.77351312039558
ZC3HAV1,3.77333000763447
ANK1,3.77319719905869
CLCC1,3.77317046389484
KCNQ2,3.77274241776189
TCF19,3.77188086581847
SCAI,3.77062477989036
TMEM63A,3.76987109307357
NBAS,3.76974464730221
SAMM50,3.7688737070473
DAAM2,3.76756270637812
TOGARAM2,3.76725278392983
LIPA,3.76660765112609
NDUFS3,3.76579807109955
PLXNC1,3.765755426241
OLFM2,3.76574449191441
CD109,3.76542082604875
DIAPH1,3.76508329687564
DKK3,3.76490366649922
UQCR10,3.76357992403877
ARMC1,3.7634635552922
MRPL50,3.76316270845666
PLAUR,3.76250930287783
FTSJ3,3.76224952193093
CIRBP,3.76208053428051
PLEKHA7,3.7620675046263
RTN4,3.76149726236983
NT5C3A,3.76118365317838
CLOCK,3.76087930648361
COX4I1,3.7606854933957
PILRB,3.76021941447518
EXOC3,3.76014376077853
CNPY4,3.76011603238566
SLC25A46,3.75995639797691
ADGRA3,3.75956864696534
TP53I3,3.75949512547345
H6PD,3.75937875746255
HACE1,3.75906971877575
ACTR1B,3.75888630421829
ABI2,3.75808554483498
NEB,3.75747280795219
PDPR,3.75741570369752
ANKS1B,3.75723114284964
TECPR1,3.757113802957
HLA-DPA1,3.75711028330384
SCRIB,3.75705168518333
TRAPPC6B,3.75669113671143
CORO6,3.75616744081108
TRPV2,3.7559703466157
ZMAT2,3.75537341476177
GAS7,3.75467343755613
MDH2,3.75464964005412
B4GAT1,3.75464445279737
IFIT5,3.75437419635015
MERTK,3.75430519972848
PADI2,3.75397838423665
SDC4,3.7538173240548
PHGDH,3.7534573668595
RIMBP2,3.75331536400958
BCKDK,3.75295720562635
PPA2,3.75279947297128
STK32C,3.75263133766307
WDR81,3.751702648056
PPP1R7,3.7513159712345
DSC2,3.75128282169829
COTL1,3.75069714037062
ITGA2,3.75021793630425
SIPA1L1,3.75018559009476
THNSL1,3.74961074402673
N4BP3,3.7491677906364
MLIP,3.74898163427841
PUF60,3.74863516927969
UBA6,3.74856290440539
ORC4,3.74820502428161
PEAK1,3.74819921348879
GNAO1,3.74813480509478
CRELD1,3.74798733016489
CLPTM1,3.74794903255088
ABCC4,3.74790359831936
PARVG,3.74714338294551
TPBGL,3.7470258732036
HEXD,3.74699441804201
PRICKLE1,3.746983480025
TESPA1,3.74670203388538
SLC7A8,3.74659845027088
ETFDH,3.74640018363506
THSD7A,3.74637115566143
NDUFAF7,3.74430043793353
ATP11A,3.74427580765927
NCF4,3.74400262152322
PDCD4,3.74393261411589
SIRT5,3.74391406845385
SCARA3,3.74350391507138
PTPRT,3.74346928003594
PTPN6,3.74311433515216
PRKD3,3.74252687509811
IDH2,3.74232494235609
PRSS23,3.74227923707361
PLTP,3.74224791061462
NCOA1,3.74210499496636
COL11A1,3.7414252707792
AVL9,3.74124925661402
STX16,3.74122820563155
GPRC5B,3.74095563318306
CCDC6,3.74081656444268
SLC25A15,3.74064201431854
GLDC,3.74028805277908
NOB1,3.74027067724614
KIF17,3.73977762192565
CADPS,3.7396227795442
PFN1,3.73924127951609
ADK,3.73906307403118
FARSB,3.73886221008034
MICA,3.73881806972793
RAPGEF4,3.73867379621405
ERAP2,3.73809767015026
GFAP,3.73782767211755
SOX9,3.73766997323416
